transcript	stratum	expression
TRINITY_DN10178_c0_g1	SPE	-
TRINITY_DN10178_c1_g1	SPE	-
TRINITY_DN10179_c0_g1	ANG	-
TRINITY_DN10180_c0_g1	ANG	-
TRINITY_DN101813_c0_g1	FAB	-
TRINITY_DN10181_c0_g1	SPE	-
TRINITY_DN101830_c0_g1	species-specific	-
TRINITY_DN10183_c0_g1	ANG	-
TRINITY_DN10184_c0_g1	ANG	-
TRINITY_DN101868_c0_g1	SPE	-
TRINITY_DN101869_c0_g1	species-specific	-
TRINITY_DN10186_c0_g2	ANG	-
TRINITY_DN10188_c0_g1	ANG	-
TRINITY_DN1018_c0_g1	species-specific	-
TRINITY_DN101919_c0_g1	SPE	-
TRINITY_DN10191_c0_g1	PAP	-
TRINITY_DN101921_c0_g1	ANG	-
TRINITY_DN10192_c0_g1	species-specific	-
TRINITY_DN101930_c0_g1	species-specific	-
TRINITY_DN101939_c0_g1	species-specific	-
TRINITY_DN101945_c0_g1	species-specific	-
TRINITY_DN101949_c0_g1	species-specific	-
TRINITY_DN101953_c0_g1	species-specific	-
TRINITY_DN10195_c0_g1	ANG	DN
TRINITY_DN10195_c1_g1	ANG	-
TRINITY_DN101966_c0_g1	species-specific	-
TRINITY_DN10197_c0_g1	ANG	-
TRINITY_DN101984_c0_g1	ANG	-
TRINITY_DN10199_c0_g1	SPE	-
TRINITY_DN1019_c0_g1	SPE	-
TRINITY_DN102009_c0_g1	species-specific	-
TRINITY_DN10200_c0_g1	PAP	-
TRINITY_DN10202_c0_g1	ANG	-
TRINITY_DN102030_c0_g1	SPE	-
TRINITY_DN10203_c0_g1	ANG	-
TRINITY_DN10204_c0_g1	ANG	-
TRINITY_DN102053_c0_g1	species-specific	-
TRINITY_DN10205_c0_g1	species-specific	-
TRINITY_DN10205_c2_g1	ANG	-
TRINITY_DN10208_c0_g1	ANG	-
TRINITY_DN10209_c0_g1	ANG	-
TRINITY_DN1020_c0_g1	ANG	-
TRINITY_DN1020_c0_g2	ANG	DN
TRINITY_DN10210_c0_g1	EUD	-
TRINITY_DN10211_c0_g1	SPE	-
TRINITY_DN102127_c0_g1	ANG	-
TRINITY_DN102128_c0_g1	species-specific	-
TRINITY_DN10212_c0_g1	ANG	-
TRINITY_DN10213_c0_g1	ANG	-
TRINITY_DN10214_c0_g1	ANG	-
TRINITY_DN10215_c0_g1	EUD	-
TRINITY_DN10216_c0_g1	ANG	-
TRINITY_DN10217_c0_g1	SPE	-
TRINITY_DN102198_c0_g1	species-specific	-
TRINITY_DN10219_c0_g1	ANG	-
TRINITY_DN1021_c0_g1	SPE	-
TRINITY_DN102200_c0_g1	species-specific	-
TRINITY_DN102207_c0_g1	species-specific	-
TRINITY_DN10222_c0_g1	species-specific	-
TRINITY_DN10223_c0_g1	ANG	-
TRINITY_DN10224_c0_g1	ANG	-
TRINITY_DN102251_c0_g1	species-specific	-
TRINITY_DN102257_c0_g1	species-specific	-
TRINITY_DN10225_c0_g1	ANG	-
TRINITY_DN10226_c0_g1	ANG	-
TRINITY_DN10227_c0_g1	species-specific	-
TRINITY_DN10228_c0_g1	PAP	-
TRINITY_DN10229_c0_g2	species-specific	-
TRINITY_DN1022_c0_g1	PAP	-
TRINITY_DN10230_c0_g1	species-specific	-
TRINITY_DN102318_c0_g1	ANG	-
TRINITY_DN102321_c0_g1	species-specific	-
TRINITY_DN10232_c0_g1	SPE	-
TRINITY_DN102356_c0_g1	species-specific	-
TRINITY_DN102363_c0_g1	species-specific	-
TRINITY_DN10236_c0_g1	ANG	-
TRINITY_DN10237_c0_g1	ANG	-
TRINITY_DN10238_c0_g1	SPE	-
TRINITY_DN102393_c0_g1	ROS	-
TRINITY_DN10242_c1_g2	ANG	-
TRINITY_DN102436_c0_g1	species-specific	-
TRINITY_DN102438_c0_g1	species-specific	-
TRINITY_DN10243_c0_g1	ANG	-
TRINITY_DN102449_c0_g1	species-specific	-
TRINITY_DN10245_c1_g1	species-specific	-
TRINITY_DN102478_c0_g1	species-specific	-
TRINITY_DN102487_c0_g1	species-specific	-
TRINITY_DN10248_c0_g2	ANG	-
TRINITY_DN102492_c0_g1	species-specific	-
TRINITY_DN10249_c0_g1	ANG	-
TRINITY_DN1024_c0_g2	SPE	-
TRINITY_DN1024_c1_g1	ANG	-
TRINITY_DN1024_c1_g2	SPE	-
TRINITY_DN1024_c3_g1	SPE	-
TRINITY_DN102507_c0_g1	species-specific	-
TRINITY_DN10250_c0_g1	SPE	-
TRINITY_DN102514_c0_g1	species-specific	-
TRINITY_DN10251_c0_g1	ANG	-
TRINITY_DN10252_c0_g1	ANG	-
TRINITY_DN10254_c0_g1	ANG	-
TRINITY_DN102559_c0_g1	PAP	-
TRINITY_DN10255_c0_g1	ANG	-
TRINITY_DN102564_c0_g1	species-specific	-
TRINITY_DN10257_c0_g4	species-specific	-
TRINITY_DN10258_c0_g1	ANG	-
TRINITY_DN10259_c0_g1	PAP	-
TRINITY_DN1025_c0_g1	ANG	-
TRINITY_DN102609_c0_g1	species-specific	-
TRINITY_DN10260_c0_g1	ANG	-
TRINITY_DN102613_c0_g1	species-specific	-
TRINITY_DN10261_c0_g1	ANG	-
TRINITY_DN10262_c0_g1	ANG	-
TRINITY_DN10263_c0_g1	ANG	-
TRINITY_DN102647_c0_g1	ANG	-
TRINITY_DN10266_c0_g1	ANG	-
TRINITY_DN102680_c0_g1	ANG	-
TRINITY_DN102681_c0_g1	species-specific	-
TRINITY_DN102686_c0_g1	species-specific	-
TRINITY_DN1026_c0_g1	SPE	-
TRINITY_DN10270_c0_g1	ANG	-
TRINITY_DN10271_c0_g1	ANG	-
TRINITY_DN102728_c0_g1	species-specific	-
TRINITY_DN10274_c0_g1	species-specific	-
TRINITY_DN10276_c0_g1	SPE	-
TRINITY_DN10277_c0_g1	ANG	-
TRINITY_DN10279_c0_g1	ANG	-
TRINITY_DN10279_c1_g1	ANG	-
TRINITY_DN1027_c0_g1	PAP	-
TRINITY_DN10281_c0_g1	SPE	-
TRINITY_DN10282_c0_g1	species-specific	-
TRINITY_DN10283_c0_g1	SPE	-
TRINITY_DN10285_c0_g1	ANG	-
TRINITY_DN102864_c0_g1	species-specific	-
TRINITY_DN102870_c0_g1	ANG	-
TRINITY_DN10287_c0_g1	SPE	-
TRINITY_DN10288_c0_g1	ANG	-
TRINITY_DN1028_c0_g1	species-specific	-
TRINITY_DN10290_c0_g1	SPE	-
TRINITY_DN102911_c0_g1	ANG	-
TRINITY_DN102926_c0_g1	ANG	-
TRINITY_DN10294_c0_g1	ANG	-
TRINITY_DN102953_c0_g1	species-specific	-
TRINITY_DN10295_c0_g6	species-specific	-
TRINITY_DN10296_c1_g2	species-specific	-
TRINITY_DN102980_c0_g1	ANG	-
TRINITY_DN102981_c0_g1	species-specific	-
TRINITY_DN10299_c0_g1	ANG	-
TRINITY_DN1029_c0_g1	ANG	DN
TRINITY_DN102_c0_g1	PAP	-
TRINITY_DN103008_c0_g1	species-specific	-
TRINITY_DN10300_c0_g1	ANG	-
TRINITY_DN10300_c0_g4	species-specific	-
TRINITY_DN10301_c0_g1	species-specific	-
TRINITY_DN103036_c0_g1	species-specific	-
TRINITY_DN10303_c0_g1	ANG	-
TRINITY_DN10303_c0_g2	ANG	-
TRINITY_DN103044_c0_g1	species-specific	-
TRINITY_DN103057_c0_g1	ANG	-
TRINITY_DN103061_c0_g1	ANG	-
TRINITY_DN10306_c0_g1	ANG	-
TRINITY_DN103086_c0_g1	ANG	-
TRINITY_DN1030_c0_g1	ANG	-
TRINITY_DN10310_c0_g1	ANG	-
TRINITY_DN10310_c0_g2	ANG	-
TRINITY_DN10310_c1_g1	SPE	-
TRINITY_DN10311_c0_g1	ANG	-
TRINITY_DN103126_c0_g1	species-specific	-
TRINITY_DN103131_c0_g1	PAP	-
TRINITY_DN10313_c0_g1	ANG	-
TRINITY_DN103146_c0_g1	species-specific	-
TRINITY_DN10314_c0_g1	species-specific	-
TRINITY_DN10315_c0_g1	ANG	-
TRINITY_DN10316_c0_g1	ANG	-
TRINITY_DN10317_c0_g1	ANG	-
TRINITY_DN10317_c1_g1	ANG	-
TRINITY_DN10318_c0_g1	PAP	-
TRINITY_DN10319_c0_g1	ANG	-
TRINITY_DN103216_c0_g1	SPE	-
TRINITY_DN10322_c0_g1	ANG	-
TRINITY_DN10323_c0_g1	ANG	-
TRINITY_DN10324_c6_g1	SPE	UP
TRINITY_DN103255_c0_g1	species-specific	-
TRINITY_DN103265_c0_g1	species-specific	-
TRINITY_DN103276_c0_g1	species-specific	-
TRINITY_DN10327_c0_g2	ANG	DN
TRINITY_DN10328_c1_g1	SPE	-
TRINITY_DN10328_c1_g2	SPE	-
TRINITY_DN10329_c0_g1	ANG	-
TRINITY_DN10331_c0_g1	ANG	-
TRINITY_DN10332_c0_g1	SPE	-
TRINITY_DN10333_c0_g1	species-specific	-
TRINITY_DN10334_c0_g1	FAB	-
TRINITY_DN10334_c0_g2	ANG	-
TRINITY_DN10335_c0_g1	ANG	-
TRINITY_DN10336_c0_g1	ANG	-
TRINITY_DN103376_c0_g1	species-specific	-
TRINITY_DN10339_c0_g1	ANG	-
TRINITY_DN1033_c0_g1	species-specific	-
TRINITY_DN10341_c0_g1	ROS	-
TRINITY_DN10342_c0_g1	ANG	-
TRINITY_DN10342_c1_g1	ANG	-
TRINITY_DN10343_c0_g1	ANG	-
TRINITY_DN10344_c0_g1	species-specific	-
TRINITY_DN103459_c0_g1	species-specific	-
TRINITY_DN10346_c0_g1	ANG	-
TRINITY_DN103475_c0_g1	species-specific	-
TRINITY_DN10347_c0_g1	ANG	-
TRINITY_DN103482_c0_g1	species-specific	-
TRINITY_DN1034_c0_g1	ANG	-
TRINITY_DN1034_c1_g1	SPE	-
TRINITY_DN10350_c0_g1	ANG	-
TRINITY_DN103510_c0_g1	SPE	-
TRINITY_DN10351_c0_g1	ANG	-
TRINITY_DN10352_c0_g1	ANG	-
TRINITY_DN10353_c0_g1	ANG	-
TRINITY_DN10355_c0_g1	ANG	-
TRINITY_DN10359_c0_g3	ANG	-
TRINITY_DN10359_c0_g4	ANG	-
TRINITY_DN1035_c0_g1	ANG	-
TRINITY_DN10360_c0_g1	species-specific	-
TRINITY_DN10361_c0_g1	species-specific	-
TRINITY_DN10362_c0_g1	EUD	-
TRINITY_DN10363_c0_g1	ANG	-
TRINITY_DN103648_c0_g1	species-specific	-
TRINITY_DN10364_c0_g1	ANG	-
TRINITY_DN10365_c0_g1	ANG	-
TRINITY_DN10365_c2_g1	ANG	-
TRINITY_DN10367_c0_g1	ANG	-
TRINITY_DN103683_c0_g1	species-specific	-
TRINITY_DN103689_c0_g1	species-specific	-
TRINITY_DN10368_c0_g2	ANG	-
TRINITY_DN1036_c0_g1	ANG	DN
TRINITY_DN10370_c0_g1	ANG	-
TRINITY_DN10371_c0_g1	FAB	-
TRINITY_DN10373_c0_g1	species-specific	-
TRINITY_DN10373_c1_g1	species-specific	-
TRINITY_DN10373_c2_g1	species-specific	-
TRINITY_DN10375_c0_g1	ANG	-
TRINITY_DN103775_c0_g1	species-specific	-
TRINITY_DN10378_c0_g4	SPE	-
TRINITY_DN1037_c0_g1	ANG	-
TRINITY_DN1037_c0_g4	ANG	-
TRINITY_DN10380_c0_g2	ANG	-
TRINITY_DN10380_c1_g1	species-specific	-
TRINITY_DN10381_c0_g1	SPE	-
TRINITY_DN10383_c0_g1	SPE	-
TRINITY_DN10384_c1_g1	species-specific	-
TRINITY_DN103859_c0_g1	species-specific	-
TRINITY_DN10387_c0_g1	ANG	-
TRINITY_DN10389_c0_g1	ANG	-
TRINITY_DN1038_c0_g1	ANG	-
TRINITY_DN10390_c0_g1	ANG	-
TRINITY_DN10391_c0_g1	ANG	-
TRINITY_DN10392_c0_g1	species-specific	-
TRINITY_DN10393_c0_g1	ANG	-
TRINITY_DN103947_c0_g1	species-specific	-
TRINITY_DN10394_c0_g1	PAP	-
TRINITY_DN10394_c0_g2	PAP	-
TRINITY_DN10396_c0_g1	ANG	-
TRINITY_DN10397_c0_g1	species-specific	-
TRINITY_DN10398_c0_g1	species-specific	-
TRINITY_DN10398_c4_g1	SPE	-
TRINITY_DN103994_c0_g1	species-specific	-
TRINITY_DN1039_c0_g1	ANG	-
TRINITY_DN103_c0_g1	SPE	-
TRINITY_DN10400_c0_g1	species-specific	-
TRINITY_DN10401_c0_g1	ANG	-
TRINITY_DN104023_c0_g1	species-specific	-
TRINITY_DN10403_c0_g1	ANG	-
TRINITY_DN10404_c0_g1	ANG	-
TRINITY_DN10405_c0_g1	ANG	-
TRINITY_DN104065_c0_g1	ANG	-
TRINITY_DN10406_c0_g1	ANG	-
TRINITY_DN10407_c0_g1	ANG	-
TRINITY_DN1040_c0_g1	PAP	-
TRINITY_DN1040_c0_g2	ANG	-
TRINITY_DN10411_c0_g2	PAP	-
TRINITY_DN10412_c0_g1	ANG	-
TRINITY_DN10413_c0_g1	SPE	-
TRINITY_DN10414_c0_g1	SPE	-
TRINITY_DN104167_c0_g1	SPE	-
TRINITY_DN104169_c0_g1	ANG	-
TRINITY_DN104171_c0_g1	ANG	-
TRINITY_DN104176_c0_g1	ANG	-
TRINITY_DN104177_c0_g1	ANG	-
TRINITY_DN104178_c0_g1	species-specific	-
TRINITY_DN104179_c1_g1	ANG	-
TRINITY_DN104180_c0_g1	ANG	-
TRINITY_DN104182_c0_g1	SPE	-
TRINITY_DN104186_c0_g1	ANG	-
TRINITY_DN104187_c20_g1	PAP	-
TRINITY_DN104188_c1_g1	SPE	DN
TRINITY_DN104189_c0_g1	ANG	-
TRINITY_DN10418_c0_g1	ANG	-
TRINITY_DN104191_c0_g1	species-specific	-
TRINITY_DN104192_c0_g1	ANG	-
TRINITY_DN104197_c1_g1	ANG	-
TRINITY_DN104199_c1_g1	ANG	-
TRINITY_DN1041_c0_g1	ANG	-
TRINITY_DN104201_c0_g1	ANG	-
TRINITY_DN104209_c1_g1	SPE	-
TRINITY_DN104211_c0_g1	FAB	-
TRINITY_DN104212_c0_g1	PAP	-
TRINITY_DN104215_c1_g1	SPE	-
TRINITY_DN104218_c6_g1	ANG	-
TRINITY_DN104219_c2_g1	SPE	-
TRINITY_DN104222_c0_g1	SPE	-
TRINITY_DN104224_c1_g1	ANG	-
TRINITY_DN104225_c1_g1	SPE	-
TRINITY_DN104226_c2_g1	ANG	-
TRINITY_DN10422_c0_g1	SPE	-
TRINITY_DN104231_c0_g1	species-specific	-
TRINITY_DN104243_c0_g1	ANG	-
TRINITY_DN104245_c0_g1	species-specific	-
TRINITY_DN104247_c0_g1	species-specific	-
