GO.ID	Term	Annotated	Significant	Expected	test
GO:0032989	cellular component morphogenesis	576	82	54.06	0.01981
GO:0048813	dendrite morphogenesis	123	19	11.54	0.02006
GO:2000112	regulation of cellular macromolecule bio...	958	128	89.91	0.02044
GO:0043406	positive regulation of MAP kinase activi...	24	6	2.25	0.02067
GO:0048814	regulation of dendrite morphogenesis	24	6	2.25	0.02067
GO:0000122	negative regulation of transcription by ...	132	20	12.39	0.02107
GO:0045664	regulation of neuron differentiation	149	22	13.98	0.02117
GO:0098657	import into cell	210	29	19.71	0.02144
GO:0009072	aromatic amino acid family metabolic pro...	18	5	1.69	0.02186
GO:0016575	histone deacetylation	18	5	1.69	0.02186
GO:0072666	establishment of protein localization to...	18	5	1.69	0.02186
GO:0009743	response to carbohydrate	31	7	2.91	0.02217
GO:0010638	positive regulation of organelle organiz...	116	18	10.89	0.02226
GO:0002065	columnar/cuboidal epithelial cell differ...	240	37	22.52	0.02288
GO:0010721	negative regulation of cell development	68	12	6.38	0.02300
GO:0010557	positive regulation of macromolecule bio...	366	58	34.35	0.02313
GO:0051130	positive regulation of cellular componen...	233	35	21.87	0.02364
GO:0048812	neuron projection morphogenesis	386	57	36.23	0.02409
GO:0048477	oogenesis	456	65	42.8	0.02413
GO:0032990	cell part morphogenesis	395	58	37.07	0.02443
GO:0055002	striated muscle cell development	61	11	5.72	0.02488
GO:0006814	sodium ion transport	61	11	5.72	0.02488
GO:0030239	myofibril assembly	46	9	4.32	0.02501
GO:1904397	negative regulation of neuromuscular jun...	46	9	4.32	0.02501
GO:0008587	imaginal disc-derived wing margin morpho...	46	9	4.32	0.02501
GO:0001763	morphogenesis of a branching structure	46	9	4.32	0.02501
GO:0042706	eye photoreceptor cell fate commitment	46	9	4.32	0.02501
GO:0045886	negative regulation of synaptic growth a...	46	9	4.32	0.02501
GO:0045610	regulation of hemocyte differentiation	25	6	2.35	0.02511
GO:0001703	gastrulation with mouth forming first	25	6	2.35	0.02511
GO:0010004	gastrulation involving germ band extensi...	25	6	2.35	0.02511
GO:0097305	response to alcohol	93	15	8.73	0.02562
GO:0036314	response to sterol	39	8	3.66	0.02594
GO:0035075	response to ecdysone	39	8	3.66	0.02594
GO:0045596	negative regulation of cell differentiat...	99	20	9.29	0.02693
GO:0016241	regulation of macroautophagy	19	5	1.78	0.02744
GO:0006476	protein deacetylation	19	5	1.78	0.02744
GO:0072665	protein localization to vacuole	19	5	1.78	0.02744
GO:0050807	regulation of synapse organization	145	28	13.61	0.02748
GO:0055001	muscle cell development	62	11	5.82	0.02778
GO:0051239	regulation of multicellular organismal p...	578	82	54.25	0.02793
GO:0019219	regulation of nucleobase-containing comp...	970	128	91.04	0.02822
GO:0046486	glycerolipid metabolic process	86	14	8.07	0.02831
GO:0051964	negative regulation of synapse assembly	47	9	4.41	0.02846
GO:1905809	negative regulation of synapse organizat...	47	9	4.41	0.02846
GO:0033674	positive regulation of kinase activity	78	13	7.32	0.02846
GO:0048522	positive regulation of cellular process	1024	140	96.1	0.02860
GO:0097659	nucleic acid-templated transcription	917	124	86.06	0.02924
GO:1901606	alpha-amino acid catabolic process	40	8	3.75	0.02985
GO:0007015	actin filament organization	127	25	11.92	0.02991
GO:0001751	compound eye photoreceptor cell differen...	137	20	12.86	0.03021
GO:0002684	positive regulation of immune system pro...	48	9	4.5	0.03222
GO:0071495	cellular response to endogenous stimulus	173	24	16.24	0.03265
GO:0010604	positive regulation of macromolecule met...	604	91	56.69	0.03308
GO:0045475	locomotor rhythm	56	10	5.26	0.03362
GO:0051345	positive regulation of hydrolase activit...	130	19	12.2	0.03370
GO:0009725	response to hormone	130	19	12.2	0.03370
GO:0006904	vesicle docking involved in exocytosis	20	5	1.88	0.03384
GO:0002225	positive regulation of antimicrobial pep...	20	5	1.88	0.03384
GO:0002922	positive regulation of humoral immune re...	20	5	1.88	0.03384
GO:0002760	positive regulation of antimicrobial hum...	20	5	1.88	0.03384
GO:0002702	positive regulation of production of mol...	20	5	1.88	0.03384
GO:1901654	response to ketone	41	8	3.85	0.03416
GO:0007254	JNK cascade	64	11	6.01	0.03430
GO:0006355	regulation of transcription, DNA-templat...	833	109	78.18	0.03459
GO:0009790	embryo development	428	61	40.17	0.03533
GO:0031338	regulation of vesicle fusion	27	6	2.53	0.03578
GO:0046552	photoreceptor cell fate commitment	49	9	4.6	0.03632
GO:0048869	cellular developmental process	1326	174	124.45	0.03645
GO:0051173	positive regulation of nitrogen compound...	580	88	54.43	0.03750
GO:0022416	chaeta development	65	11	6.1	0.03794
GO:0008219	cell death	322	40	30.22	0.03856
GO:0030162	regulation of proteolysis	132	19	12.39	0.03864
GO:0009893	positive regulation of metabolic process	650	99	61	0.03988
GO:0046907	intracellular transport	504	59	47.3	0.04094
GO:0010628	positive regulation of gene expression	372	58	34.91	0.04105
GO:0007292	female gamete generation	489	67	45.89	0.04107
GO:0007632	visual behavior	21	5	1.97	0.04110
GO:0007406	negative regulation of neuroblast prolif...	21	5	1.97	0.04110
GO:0014017	neuroblast fate commitment	21	5	1.97	0.04110
GO:0048278	vesicle docking	21	5	1.97	0.04110
GO:0002833	positive regulation of response to bioti...	21	5	1.97	0.04110
GO:0002699	positive regulation of immune effector p...	21	5	1.97	0.04110
GO:2000178	negative regulation of neural precursor ...	21	5	1.97	0.04110
GO:0016054	organic acid catabolic process	74	12	6.95	0.04152
GO:0046395	carboxylic acid catabolic process	74	12	6.95	0.04152
GO:0042060	wound healing	58	10	5.44	0.04165
GO:0016236	macroautophagy	66	11	6.19	0.04184
GO:0048545	response to steroid hormone	28	6	2.63	0.04205
GO:0043401	steroid hormone mediated signaling pathw...	28	6	2.63	0.04205
GO:0071383	cellular response to steroid hormone sti...	28	6	2.63	0.04205
GO:0010038	response to metal ion	28	6	2.63	0.04205
GO:0006638	neutral lipid metabolic process	28	6	2.63	0.04205
GO:0006639	acylglycerol metabolic process	28	6	2.63	0.04205
GO:0010508	positive regulation of autophagy	28	6	2.63	0.04205
GO:0002164	larval development	125	18	11.73	0.04316
GO:1901605	alpha-amino acid metabolic process	91	14	8.54	0.04331
GO:0009880	embryonic pattern specification	169	23	15.86	0.04342
GO:0097435	supramolecular fiber organization	197	33	18.49	0.04346
GO:0060446	branching involved in open tracheal syst...	43	8	4.04	0.04398
GO:0007548	sex differentiation	81	17	7.6	0.04418
GO:0048468	cell development	1091	146	102.39	0.04477
GO:0045927	positive regulation of growth	100	15	9.39	0.04532
GO:0010769	regulation of cell morphogenesis involve...	75	12	7.04	0.04540
GO:0031098	stress-activated protein kinase signalin...	75	12	7.04	0.04540
GO:0046528	imaginal disc fusion	15	4	1.41	0.04541
GO:0046529	imaginal disc fusion, thorax closure	15	4	1.41	0.04541
GO:0098693	regulation of synaptic vesicle cycle	15	4	1.41	0.04541
GO:0048056	R3/R4 cell differentiation	15	4	1.41	0.04541
GO:0051403	stress-activated MAPK cascade	67	11	6.29	0.04600
GO:0007616	long-term memory	59	10	5.54	0.04612
GO:0007274	neuromuscular synaptic transmission	59	10	5.54	0.04612
GO:0007423	sensory organ development	387	52	36.32	0.04674
GO:0009755	hormone-mediated signaling pathway	36	7	3.38	0.04689
GO:0001754	eye photoreceptor cell differentiation	144	20	13.51	0.04765
GO:0031032	actomyosin structure organization	84	13	7.88	0.04830
GO:0035601	protein deacylation	22	5	2.06	0.04923
GO:0000045	autophagosome assembly	22	5	2.06	0.04923
GO:0099174	regulation of presynapse organization	22	5	2.06	0.04923
GO:0051058	negative regulation of small GTPase medi...	22	5	2.06	0.04923
GO:0006641	triglyceride metabolic process	22	5	2.06	0.04923
