hit	evalue	qcover	transcript	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
psf2	7.90e-70	99	TRINITY_DN3217_c1_g1	38.2813883818256	62.2915090159707	1.14747270056928	0.0206764673160912	2	38
tailless	8.83e-98	95	TRINITY_DN32885_c0_g1	-	-	-	-	notGCN	notGCN
Glutaredoxin	8.43e-40	84	TRINITY_DN3435_c0_g1	2922.17101151725	4303.74950779493	0.956105113421073	2.61835871540149e-06	2	2
CG10444	1.10e-110	92	TRINITY_DN3465_c1_g1	93.3128687297579	184.267488699652	1.54369102671954	2.88352097661429e-06	7	2
l(1)g0232	2.80e-21	82	TRINITY_DN3649_c0_g1	70.688848959785	44.0825311837396	-2.00132731788181	9.71246998822334e-08	notGCN	4
ebony	1.34e-16	83	TRINITY_DN3771_c0_g1	984.747029312222	968.195692250429	-0.0490645163526288	0.912955420926637	9	3
CG10444	2.83e-72	95	TRINITY_DN3818_c0_g1	244.297603437891	164.743630599131	-1.51354247711236	4.93088451517369e-12	notGCN	32
Pka-C1	4.97e-119	99	TRINITY_DN38223_c0_g1	-	-	-	-	notGCN	notGCN
CG3397	1.02e-118	91	TRINITY_DN3860_c0_g3	130.246235960478	253.191128023836	1.52774571357352	3.93882657345963e-27	notGCN	2
pros25	7.20e-37	93	TRINITY_DN3940_c2_g1	1603.67746994666	1970.40504849551	0.541615607090914	0.00487831714459134	9	2
Bx42	0.0	98	TRINITY_DN3961_c0_g1	368.866739066198	406.346229741906	0.266615789386226	0.135353968320604	14	notGCN
beadex	5.10e-92	87	TRINITY_DN3971_c0_g2	187.885493592149	98.6603201165475	-4.20983155879177	5.86020506782654e-23	notGCN	32
med22	2.60e-73	95	TRINITY_DN3995_c0_g1	99.1302907103463	83.0348536610369	-0.569499492216498	0.0162979743962104	15	44
alpha-coatomer	0.0	99	TRINITY_DN4005_c0_g1	324.199285378556	405.777281503889	0.586666420768145	5.44401358291798e-05	14	2
Multi-substrate	3.26e-64	97	TRINITY_DN4146_c0_g2	205.556547026803	224.147548713556	0.241891756737244	0.109263895992951	11	9
desat1	3.05e-146	87	TRINITY_DN4174_c2_g1	438.277876989343	486.616538894542	0.285336514733973	0.181779779323336	2	notGCN
5-hydroxytryptamine	2.49e-57	92	TRINITY_DN42084_c0_g1	92.2414609974433	59.2315323441685	-1.78057350866418	4.85208120197224e-05	notGCN	7
CG10444	7.19e-115	89	TRINITY_DN4242_c0_g1	143.293007911081	115.62535162523	-0.697885164820235	0.023204943745875	1	1
metabotropic	0.0	92	TRINITY_DN430_c0_g2	171.700055165749	94.5190244651724	-3.21647538433867	7.86599465403672e-11	notGCN	15
Mub	4.60e-17	83	TRINITY_DN4376_c0_g1	741.824687535098	658.985819388949	-0.363440250736552	0.0886889803478406	6	29
chord	3.53e-126	98	TRINITY_DN4559_c1_g1	170.542792742188	200.414665368035	0.431016906090492	0.000103701470277186	notGCN	3
spichthyin	1.18e-99	97	TRINITY_DN4625_c0_g1	286.39534457685	346.049545208403	0.500693068558234	0.0127663090575887	2	2
moody	2.51e-18	81	TRINITY_DN4671_c0_g3	46.5187738973063	30.8673651802806	-1.58931091256164	7.73433937022647e-06	notGCN	30
14-3-3	3.35e-99	99	TRINITY_DN47881_c0_g1	-	-	-	-	notGCN	notGCN
l(1)g0232	8.25e-34	96	TRINITY_DN4900_c0_g1	241.576395374404	259.349079654934	0.197272561151914	0.640387262949095	11	notGCN
moody	6.43e-140	89	TRINITY_DN494_c0_g2	257.401181458476	196.737730438157	-0.914065540329542	3.70941330754517e-05	14	notGCN
5-hydroxytryptamine	4.30e-61	86	TRINITY_DN4987_c0_g1	36.9317113660497	18.4658556830248	-6.69594042263707	2.21349383677566e-08	notGCN	5
CG10444	0.0	98	TRINITY_DN4996_c0_g1	1.52359207204016	31.8976890558228	4.9420220217437	1.34124493285185e-10	7	notGCN
Pka-C1	3.00e-42	81	TRINITY_DN505_c4_g1	234.588467755571	260.276837546889	0.284427227680527	0.155293187519439	3	32
CG10444	1.07e-108	92	TRINITY_DN5075_c0_g1	0	78.6410095724261	9.08353254801498	1.98349658171536e-18	3	notGCN
pros25	3.66e-50	92	TRINITY_DN5079_c0_g1	1065.52098556292	1181.68622469279	0.283787125598956	0.0358936024253858	1	2
TpnC41C	4.42e-64	97	TRINITY_DN5302_c0_g1	11.6505900509203	14.625437437336	0.485486457339635	1	notGCN	notGCN
black	1.18e-76	84	TRINITY_DN5325_c0_g1	244.01843263739	128.206566181828	-4.22034594255519	2.31799161938859e-23	notGCN	30
fizzeled	1.67e-18	89	TRINITY_DN536_c0_g1	285.495058622248	267.378701091198	-0.183372275238063	0.890591634223544	notGCN	28
fizzeled	1.67e-18	89	TRINITY_DN536_c0_g2	1151.70035003839	1097.1529514495	-0.142533792054167	0.739327643960004	5	41
Pka-C1	8.99e-101	93	TRINITY_DN5370_c0_g2	223.345191246469	174.51658126407	-0.824361835746593	0.000483258973876908	2	3
desat1	1.70e-54	86	TRINITY_DN5398_c0_g1	500.639091433412	2072.18566408226	2.82506245832765	1.19628779633177e-16	1	3
CG2767	4.81e-88	92	TRINITY_DN539_c0_g1	1205.5778535182	2291.56799559676	1.48444357100742	3.51945153534422e-54	1	3
Btk	1.36e-61	96	TRINITY_DN5733_c0_g1	698.280109523147	881.930439865203	0.608655083128893	7.29788352531568e-06	14	2
Darkener	1.33e-20	88	TRINITY_DN5835_c0_g1	96.5989769137715	91.6937698417442	-0.153177598398726	0.678579964962655	15	2
Btk	2.37e-108	92	TRINITY_DN600_c0_g1	285.674361640317	172.193068652175	-2.26754122025048	2.02823001937361e-17	3	15
fizzeled	3.51e-42	94	TRINITY_DN632_c3_g3	57.8226549259166	98.8747551865394	1.26560672183296	3.05620492308507e-05	3	32
pros25	1.05e-113	99	TRINITY_DN6485_c0_g1	664.890254842084	866.594184620932	0.681726719030821	0.000155379877586651	1	2
CG14591	1.15e-70	86	TRINITY_DN650_c0_g1	159.899888045844	131.910435485596	-0.621361914529907	0.0394556526369305	12	16
CG10444	0.0	95	TRINITY_DN655_c0_g1	55.340081059351	60.5676857720151	0.247967473342318	0.673848504707333	12	32
desat1	1.42e-82	99	TRINITY_DN6564_c0_g1	19.7192035273614	10.8757678056379	-2.89821707898819	0.00628018222995567	notGCN	31
desat1	8.75e-60	99	TRINITY_DN6564_c0_g2	270.565596269725	530.051075419164	1.5419771538282	6.3676337309049e-38	2	3
desat1	1.16e-117	92	TRINITY_DN6564_c0_g4	-	-	-	-	10	notGCN
TpnC41C	1.02e-34	100	TRINITY_DN67238_c0_g1	-	-	-	-	notGCN	notGCN
hsc70-3	1.45e-22	86	TRINITY_DN68068_c0_g1	-	-	-	-	notGCN	notGCN
Mub	1.53e-41	81	TRINITY_DN684_c0_g4	76.2869145671098	45.4638557121896	-2.3627333503963	5.51196273571117e-09	notGCN	41
ebony	0.0	99	TRINITY_DN7129_c0_g1	97.1742394578454	49.3098743533551	-5.75421755631398	2.31077473319098e-21	notGCN	41
Transaldolase	9.54e-168	98	TRINITY_DN712_c0_g1	1100.16334602466	1702.41094906616	1.06149836781675	1.01100965026663e-06	9	3
CG5966	2.84e-134	88	TRINITY_DN715_c1_g1	605.496651746867	1439.5850569395	1.8994181729261	4.73389686387048e-20	5	18
SP71	0.0	84	TRINITY_DN7172_c0_g1	5.28122012657735	6.93916050348833	0.644841590790233	0.514612668251667	notGCN	notGCN
hsc70-3	5.66e-50	100	TRINITY_DN72076_c0_g1	-	-	-	-	notGCN	notGCN
Btk	0.0	98	TRINITY_DN736_c0_g1	972.694816152109	907.934377997237	-0.205073492421768	0.423114808455808	2	41
GNBP1	4.38e-62	97	TRINITY_DN740_c0_g1	955.162507676355	1622.68276172834	1.25180475696188	4.60732020121702e-06	1	notGCN
CG7900	9.86e-41	99	TRINITY_DN742_c0_g2	1270.18994675087	1345.02174536827	0.159640204590685	0.355467141573194	1	3
hsc70-3	9.85e-78	99	TRINITY_DN74489_c0_g1	-	-	-	-	notGCN	notGCN
artichoke	7.17e-16	83	TRINITY_DN7776_c0_g1	93.9566825143277	71.944767743826	-0.855435866515636	0.332465813643817	1	3
CG7900	1.39e-103	95	TRINITY_DN848_c1_g1	1464.76094434172	1536.73073123213	0.134839095450491	0.351369336965689	14	16
CG11899	3.86e-144	97	TRINITY_DN868_c0_g1	341.956992318117	1167.7391095282	2.53833294805123	6.91659493849224e-79	2	31
Lipophorin	0.0	92	TRINITY_DN957_c0_g1	699.886094763943	792.01487102127	0.335880256392092	0.109921145138091	notGCN	23
