-ehit\tevalue\tqcover\ttranscript\tlogFC_AB_AD\tpadj_AB_AD\tlogFC_AC_AD\tpadj_AC_AD\tlogFC_AD_AD\tpadj_AD_AD\tlogFC_AB_CT\tpadj_AB_CT\tlogFC_AC_CT\tpadj_AC_CT\tlogFC_AD_CT\tpadj_AD_CT\tAD\tCT
pros25	2.31e-47	82	TRINITY_DN13252_c0_g1	-0.341740371370257 0.0633926514270692	-0.219051947298905 0.432937568061947	-0.43744763515725 0.00760948135045151	-0.571379113138495 0.00113063727301819	-0.444199804379427 0.0368220372311071	-0.57359995124004 0.0222230674574273	9	2
TpnC41C	7.53e-17	92	TRINITY_DN13345_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
hsc70-3	0.0	99	TRINITY_DN1402_c0_g1	-0.37699974000071 0.292834785758006	-0.43442805473961 0.257483440213349	-0.428117848457589 0.126847871533261	-0.207731364353923 0.625037505413539	-0.348754892038155 0.123273786703692	-0.297573568760223 0.485769853543704	9	2
fizzeled	0.0	96	TRINITY_DN1403_c0_g1	-0.222509620076546 0.491797657207264	-0.236717124476173 0.627194107489862	-0.287657815496462 0.409968609028369	-0.0887011394535442 0.892640210200711	-0.190079472843064 0.434762255582647	-0.188664139323201 0.575810005529922	2	2
Pka-C1	6.92e-16	75	TRINITY_DN1416_c0_g2	-0.0139728960399439 0.98624651541917	0.0194808081558163 0.979238555060435	-0.238891413817192 0.403910452231752	0.00817131256047129 0.991629969884458	-0.114497169384834 0.69607475132557	-0.124999440281789 0.676315260693283	NA	2
inos	1.36e-99	99	TRINITY_DN1449_c0_g1	-0.320953403686151 0.391469850567047	-0.3439391176273 0.428520646551617	-0.289652775839342 0.364273710307074	0.105956576067228 0.742859798800989	-0.135856563677241 0.430550980879623	0.0408596587570889 0.89564925249332	1	32
CG10444	4.04e-78	84	TRINITY_DN14557_c0_g1	-0.369794025620355 0.576010434569485	0.587265815869588 0.507482916349457	0.889171598848193 0.0066360280154495	-0.937640747048944 0.00487379365000558	-0.936771058113829 0.000602540762820637	-0.528947290132589 0.101456970122806	14	16
CG14478	1.18e-11	79	TRINITY_DN1489_c1_g1	-0.122415914516942 0.869041319375451	0.0784903908572579 0.953244020565807	0.194151093850677 0.687527026967265	-0.0372658658027414 0.966734275763526	-0.60530444070177 0.00252063781844037	-0.405151097050568 0.104227689735846	13	1
artichoke	0.0	75	TRINITY_DN15214_c0_g1	2.02758486396361 0.00598720634782926	2.14630929139243 0.00686959581080301	2.02678316456955 1	NA NA	NA NA	NA NA	NA	NA
hsc70-3	0.0	93	TRINITY_DN1527_c0_g1	-0.0414779512529357 0.943380261397279	-0.026436724084729 0.976359120607742	-0.0565542730787245 0.871783176325365	-0.372570412229966 0.0369744421590478	-0.291398325307881 0.101600019352031	-0.215617113480343 0.613215801431422	2	2
desat1	5.29e-49	81	TRINITY_DN1531_c0_g1	-0.739324716463794 0.496002358495257	-0.249982689938119 0.847341281856601	-0.10127626832292 0.926808126687447	-0.0270114512073048 0.987196732921056	0.54469616242114 0.359967684985477	0.693709909846827 0.163329625166423	8	41
Treh	4.74e-78	93	TRINITY_DN1561_c0_g1	-0.402836757802548 0.489392172598293	-0.337038539540623 0.610270318117627	0.0987291012344972 0.867964581485701	-1.03705258140637 3.94579433434783e-05	-1.02383981397982 8.7426033882253e-05	-0.889287279928513 0.00785377034646533	7	3
dissatisfaction	2.97e-28	93	TRINITY_DN15630_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
Pka-C1	0.0	100	TRINITY_DN1608_c0_g1	0.236140871664898 0.675953061577905	0.264849155928097 0.793402282346411	0.902165327551978 0.0162493741149149	0.19577014532863 0.718022015730458	-0.0162489911408906 0.963167504926074	0.209217194806202 0.554169215713767	14	1
CG5966	3.74e-18	83	TRINITY_DN16093_c0_g1	0.281164272893488 0.900075508285144	NA NA	0.173286306234398 1	NA NA	NA NA	NA NA	NA	NA
Pka-C1	4.72e-39	73	TRINITY_DN16243_c0_g1	-0.237564032363586 0.407015351470416	0.0355826743814904 0.953244020565807	-0.0555545452516641 0.897925946136209	0.0335316396925807 0.961754616747658	0.0185950065206925 0.947784200874435	0.15631930683303 0.502383583128487	10	2
ebony	2.03e-10	90	TRINITY_DN1634_c0_g1	-0.431936658980129 0.33392614176914	-0.314541567604162 0.610270318117627	-0.00323331807418278 0.995437625854489	-0.259607551625554 0.0883297906646353	-0.569209967060491 0.000250007975390011	-0.537160701572809 1.99344925694059e-07	12	3
desat1	5.46e-125	92	TRINITY_DN1643_c0_g1	0.650432836412151 0.00494303944518357	0.615579199434406 0.0518413377956587	0.704938062459261 0.00740301146942564	0.446191325391465 0.011095179943702	0.254017631071236 0.16363573879622	0.369686008722852 0.041084988241011	3	23
artichoke	1.74e-16	71	TRINITY_DN1646_c9_g1	0.775984648158967 0.0148302476809862	0.666009654534821 0.294246351589379	0.985985785642982 0.0295838814958639	0.197957229075354 0.650355729387248	0.0880735991605362 0.764340910911946	0.112163070895135 0.785900802919339	14	14
kismet	6.04e-23	70	TRINITY_DN16521_c0_g1	-1.18341036561909 0.383791115223792	NA NA	NA NA	0.182176142462533 1	0.167582641156648 1	0.365536704398247 1	NA	NA
CG7900	3.43e-31	92	TRINITY_DN165_c0_g1	0.370553242638194 0.201884808596178	0.268763947596547 0.381551590102759	0.166399393716034 0.675171597084744	0.136183625092138 0.383818994513565	-0.0728879047833937 0.647374143918172	-0.114171811996438 0.508278609889288	2	2
Nurf-38	1.54e-141	99	TRINITY_DN1681_c1_g1	-1.04814967190694 6.76622604744166e-10	-0.443503855424653 0.285816001879441	-0.537309071130905 0.114163090251131	-0.419517086658694 0.0103524066158409	-0.580462289829732 0.001446886113998	-0.729549953328385 0.000189497012625862	1	2
artichoke	2.86e-50	88	TRINITY_DN16960_c0_g1	NA NA	NA NA	NA NA	-0.06780762279762 1	-0.209254542950936 1	0.220834912217215 1	NA	NA
rasputin	1.03e-15	89	TRINITY_DN1783_c1_g1	0.764531081156314 0.0294157521403903	1.08601165238607 0.0584546130717239	0.854897422087921 0.010877144002705	0.294689438786162 0.415576049151774	0.404769370796757 0.28053357094461	0.767089216663253 0.000672499343418618	3	14
14-3-3	1.30e-61	97	TRINITY_DN1799_c1_g2	0.0598118671848325 0.921123074733574	-0.0294282118662297 0.968658182777451	-0.0539099243752445 0.885296793009654	0.111818096494752 0.789094720820974	0.0262063037826292 0.926607631269771	0.0536555683190832 0.894287030520976	11	32
swiss	0.0	99	TRINITY_DN18272_c0_g1	0.113133726737239 0.684786151112811	0.0299791762048922 0.97225259990264	0.0671095434641559 0.784411450299246	0.0286111124689394 0.958344640348695	-0.136331892251644 0.426472572693705	-0.0444329886025041 0.906648026939747	8	2
CG2767	1.15e-83	98	TRINITY_DN1846_c0_g1	-0.525636482160034 0.362245743567225	-0.757187676859155 0.138419165308305	-0.649087392167284 0.0569027590060728	-0.519341547563145 0.0364921587799921	-0.451235366892225 0.107962560053993	-0.660613741235058 0.016138714245075	1	3
CG14478	5.44e-09	91	TRINITY_DN19038_c0_g1	NA NA	NA NA	-0.247489998896479 1	NA NA	NA NA	NA NA	NA	NA
Pka-C1	1.14e-52	78	TRINITY_DN192_c0_g1	0.0811176450946632 0.960232672940398	0.730362031736589 0.369970097111412	0.266401945416895 0.710336722804374	0.211034753663943 0.733157526626531	0.404229618112727 0.161312870304479	0.233606839853665 0.59550997092538	NA	2
Darkener	3.95e-21	74	TRINITY_DN19400_c0_g1	-0.106928269219258 0.927857524689026	-0.273461740864258 0.805298135538685	0.209028599223008 0.751300804925855	0.16795731029581 0.802796012110965	0.0790081130955105 0.859477675321233	0.0405905942013718 0.945086538992658	6	29
artichoke	6.46e-20	75	TRINITY_DN195_c2_g1	-0.483867226890322 0.521139653072853	-0.612520133596991 0.463610653215342	-0.37986810754062 0.603717286921178	0.075190538061459 0.909649200520983	-0.422216051318393 0.0488519868188516	-0.384926251135722 0.173992042819754	1	2
Est1	6.78e-77	94	TRINITY_DN19751_c0_g1	NA NA	NA NA	NA NA	-0.25741704432642 0.865421252210114	-0.535360981824482 1	-0.566615878959822 1	NA	39
hsc70-3	0.0	86	TRINITY_DN1976_c7_g1	0.371569796693966 0.576010434569485	0.246249819454966 0.727590329600672	0.206944281668381 0.569662570984539	0.107394354032581 0.532726020221608	0.209678992289583 0.357590089797262	0.0679561624390062 0.806928355665376	11	41
Pka-C1	3.13e-25	70	TRINITY_DN19857_c0_g2	-0.710185030449114 0.0452503440854188	0.265106127264661 0.711552515952136	-0.140081960521356 0.844505350534672	0.0205448069930963 0.988749859701181	-0.059307045418577 1	0.00220895275519683 1	10	17
couch	5.94e-106	97	TRINITY_DN2037_c0_g1	0.243446141181949 0.789609950624843	0.0184226593007211 0.993813038885078	0.332521826635145 0.555981266023476	-0.160055386382039 0.866676979347782	-0.0358767914817091 0.952566959506536	-0.0220878566820585 0.976185877971902	14	29
CG10444	3.30e-49	92	TRINITY_DN2048_c0_g1	-0.438141187279373 0.0763262327264578	-0.307839198583327 0.580051515208431	0.178928135956884 0.706228231775217	0.166239760543183 0.736929517472022	0.134645022212457 0.695773226656288	0.362335049606179 0.261908304624381	12	32
CG10444	1.81e-166	96	TRINITY_DN20619_c1_g1	NA NA	NA NA	NA NA	-0.326435006562481 0.81386431445777	-0.734924066614087 1	-0.785200660562846 1	NA	39
CG7900	7.59e-18	96	TRINITY_DN20638_c0_g1	-0.154624260196199 0.791993483589854	-0.364121833519369 0.610270318117627	-0.552821791214467 0.0811549249540879	-0.279904217918347 0.611225497703166	-0.0789250929395932 0.84762198200211	-0.197047896655302 0.620437711331978	9	2
Pka-C1	4.93e-30	76	TRINITY_DN2087_c0_g1	-0.120850177255208 0.792154590699426	0.216255101566566 0.646339468054734	-0.020663946137365 0.964805347285551	-0.122097614032433 0.695214258454939	-0.0854928279096597 0.788281811464385	-0.279093698870506 0.139348787861007	2	2
artichoke	6.16e-46	86	TRINITY_DN2109_c1_g1	-0.157930115737624 0.626174124648112	-0.385579145919485 0.080985989325549	-0.12943379529515 0.662825924117092	-0.215290562157024 0.4879218493741	-0.453950846949846 0.00249479049582106	-0.201408709695197 0.459196782558988	9	1
alfa-Esterase-8	1.15e-95	90	TRINITY_DN2112_c0_g1	-0.940683530746082 2.08407949967365e-07	-0.949664832087164 6.70349541827949e-10	-1.0790077461222 1.11617088564715e-07	-0.377721121031152 0.363178660359127	-0.640954226704197 0.0106414543914882	-0.380065439321618 0.175566590408812	9	16
alfa-Esterase-8	8.66e-92	94	TRINITY_DN2112_c0_g2	-1.88429636391582 3.61640237791389e-21	-2.01247328523597 1.69838346005096e-12	-2.26135258043731 4.44512540687226e-17	-1.00156044395877 5.65804621447324e-09	-1.56479030827943 4.22731851221487e-60	-1.40467608394211 1.11176783778615e-31	9	3
artichoke	2.85e-53	74	TRINITY_DN21215_c0_g1	0.178922783534054 0.942590128364984	0.579347636573778 0.710944921366285	-0.185482016372713 1	-0.598465669259555 1	-0.661469966423055 1	-0.418347762678393 1	NA	NA
Darkener	1.99e-18	81	TRINITY_DN2140_c0_g4	-0.365670622285687 0.0221949914184997	-0.392445669871313 0.0111162359016665	-0.449272967989147 0.00015170665445733	0.0101385810845361 0.985500950042987	0.00278360534641664 0.993129799777081	-0.0144344344007692 0.970365503087405	9	2
Mfas	4.57e-09	81	TRINITY_DN2164_c0_g3	0.14096680648668 0.692526396046321	0.227912254875885 0.610270318117627	0.0983802532383412 0.757530191642429	0.0610484774840858 0.859506270609753	0.237693600630799 0.0894408893987174	0.203119538699379 0.244448321274318	3	41
Pka-C1	2.81e-77	70	TRINITY_DN2189_c1_g2	-0.312611204903721 0.088002927648696	-0.135718834944489 0.716912055802266	0.0612768711585335 0.866322743688915	-0.257268477613409 0.00738988923270901	-0.444273401050306 6.1689253900266e-07	-0.268481063379971 0.00601048194171346	12	3
GNBP1	4.34e-67	95	TRINITY_DN21_c0_g1	0.0697096282157727 0.922622458324323	-0.123822555587554 0.894299131836399	-0.281309107470937 0.457439502384305	0.670015902072211 3.86515385824681e-08	-0.0443085696920716 0.872276180579772	-0.244884199292001 0.286332076870464	2	18
CG5966	8.82e-16	81	TRINITY_DN2221_c0_g2	NA NA	NA NA	NA NA	-0.326238154810696 0.474551172726064	-0.0990338279935937 0.804807166354533	-0.172406405662059 0.684714121798957	NA	NA
alfa-Esterase-8	5.49e-37	84	TRINITY_DN2253_c0_g1	0.306474449633631 0.167102236159297	0.123851322852228 0.73014711767565	-0.0661747050217883 0.825446775106635	0.141363119476324 0.597655015894241	-0.0931204467225922 0.631074425740292	0.00529999482663126 0.991212134157906	2	2
CG14478	1.23e-12	83	TRINITY_DN2256_c0_g1	0.666829165466102 0.0148302476809862	0.404514079868786 0.389668581763587	0.31594059549774 0.342455811689379	0.131705644784381 0.742859798800989	0.307143855508073 0.176927919474287	0.323383952111811 0.293602888917182	5	31
alfa-Esterase-8	5.75e-66	85	TRINITY_DN236_c0_g6	-0.821540931815498 0.000799859331024076	-0.752953865754432 0.0257497222991766	-0.808535422687269 0.0520688972885038	-0.743271598925427 0.0214253026065361	-1.21457561273078 2.62997968792033e-05	-1.34249063550678 4.41723746124167e-07	1	3
pros25	1.12e-28	83	TRINITY_DN2408_c0_g1	-0.336944088271298 0.0296846977372858	-0.146335312901549 0.76395987156282	-0.326257164386113 0.14639693832374	-0.564604853822227 2.00208149177687e-05	-0.433074574634999 0.0108489466364738	-0.462451218086069 0.0318514774099348	1	2
Est1	6.54e-49	84	TRINITY_DN2425_c0_g1	0.900689147999671 0.353256651393247	0.390801341700421 0.802228670504604	0.707572386640485 0.408153577618781	-0.308704833197719 0.278386285439686	0.0170847313479169 0.96882934979866	0.215512600388432 0.418827681295946	NA	4
hsc70-3	1.46e-52	71	TRINITY_DN2431_c0_g1	-0.110580114769464 0.916196219520126	-0.278374925036549 0.657966053731096	-0.116960231901093 0.812685399050907	-0.145978929521974 0.441103149880814	0.0373650537790784 0.910001631135039	-0.150147587306796 0.445064786503099	6	31
SP71	3.82e-19	80	TRINITY_DN2436_c1_g1	0.595565056041957 0.000430545190686514	0.877839292694303 0.0177767687442248	0.829147808545168 1.63500617499974e-06	0.365844131687474 0.183002900762308	-0.0416433366645488 0.889513647977156	0.107828510096954 0.772085510894469	3	1
alpha-coatomer	3.34e-13	96	TRINITY_DN2445_c0_g1	0.154007038005832 0.881301325912372	0.144090826303165 0.903632959455786	0.358299258976287 0.373168436904366	-0.0163347121950012 0.984763558350945	0.0209375507605444 0.957206114643745	0.118136543380255 0.733373816042627	8	2
black	1.01e-61	87	TRINITY_DN251_c1_g1	0.0307665531491486 0.982396842477559	-0.564524691472899 0.384948708803845	-0.98865876845166 0.0115978375623208	1.13148918473589 0.0280356719823203	-0.0228382045543587 1	-0.591183601701964 0.35725375416351	9	18
TpnC41C	8.23e-68	99	TRINITY_DN2520_c0_g1	-1.24555359217066 0.225625715429074	-0.791894287759568 0.610270318117627	-0.762803725392365 0.423819196147317	-0.700433643710942 0.247162486496492	-0.84211993292865 0.151128493433355	-0.56131069896429 0.387954421476708	1	3
pros25	5.70e-42	86	TRINITY_DN25215_c0_g1	-0.532748272038861 8.37699840975715e-06	-0.256410163825731 0.372183525006084	-0.403556869123977 0.0676415806917199	-0.59387216114642 1.76644857639364e-05	-0.301051729186699 0.0975330779479999	-0.428422633357758 0.0225150518092975	1	2
longitudinals	4.64e-11	72	TRINITY_DN2547_c0_g1	0.638135301787031 0.320480064905471	0.43565768906862 0.610270318117627	0.225149085325808 0.716622040460355	0.252341467590677 0.793124525273081	0.49078391087514 0.260392869197359	0.401746132215027 0.443051110815617	2	23
desat1	0.0	99	TRINITY_DN255_c0_g1	-2.68694352841671 7.08216249694752e-14	-1.36133988473516 0.030563066450375	-1.37081778376051 0.00069036373334937	-0.721599836281346 0.00123943065564714	-0.710371247343128 0.00480383444509598	-0.783574913703657 0.000502046168383125	1	3
alfa-Esterase-8	5.48e-56	80	TRINITY_DN256_c2_g1	0.632113095268429 0.562531797080481	0.278597828531082 0.83023345733772	0.515060220926598 0.478258931148099	-0.0303112078425841 0.974546675916935	0.287213565231675 0.353916418347874	0.236112163140815 0.490096058250027	11	41
hsc70-3	5.71e-44	100	TRINITY_DN25906_c0_g2	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
14-3-3	2.84e-175	99	TRINITY_DN259_c3_g1	-0.0776570350309219 0.888909952509718	-0.343548550728438 0.290571412713517	-0.356843270047331 0.171725773791291	-0.0417535837100088 0.961188713676669	-0.113465732125474 0.631074425740292	-0.0325387583077381 0.947254226852995	11	32
5-hydroxytryptamine	2.79e-33	95	TRINITY_DN25_c0_g1	NA NA	NA NA	NA NA	0.146088846687888 0.669358192955278	0.349004333417644 0.0578794788391744	0.355598304431074 0.080788692600849	NA	41
CG5966	3.78e-18	80	TRINITY_DN2719_c0_g1	-0.400945114330965 0.662152511407503	0.208549730690605 0.887347961804281	0.127684698518459 0.880318227481354	-0.632005238654607 0.410133211297259	-0.998558826914608 0.00882566465326631	-0.448784729114498 0.426525032369851	1	16
alpha-coatomer	2.90e-79	83	TRINITY_DN2790_c4_g1	0.0166134224327932 0.981035350823475	-0.0193694888104407 0.980543532838225	-0.140141940182923 0.643222417534353	-0.112185356775942 0.747746523124424	-0.334801273411123 0.0261628061297202	-0.232362043276347 0.480638533819661	2	2
Nimrod	1.81e-12	85	TRINITY_DN2797_c0_g1	0.0288528626438706 0.960536556237992	0.214750197815253 0.476307700914474	0.224571462983548 0.387191363783877	0.126086548788833 0.544197668115254	0.0208572870934086 0.931981025278485	0.0349589723062967 0.878552015826925	3	23
moody	1.30e-20	70	TRINITY_DN2864_c0_g1	0.221535484871478 0.846049993125982	0.10774845583411 0.932666546024038	0.157082816290299 0.79020663641939	0.785834733203981 0.00706689301445947	-0.0804388369022276 0.85919847077687	0.0697863868634979 0.922908971104619	3	32
Treh	0.0	88	TRINITY_DN2886_c0_g1	0.273659874984373 0.658494125807867	0.277004388990185 0.708396026527451	0.531112367893043 0.193519121657378	-0.0439717224727444 0.944593708487579	-0.182584348043716 0.212030525352972	-0.110155293821435 0.775649197021092	14	1
Btk	3.79e-51	92	TRINITY_DN2921_c0_g1	0.364945989847239 0.762746498662042	-0.122470074068384 0.952567854791041	0.281287795867907 0.758477284163692	0.103126243041888 0.859506270609753	0.308326916902979 0.155434433910765	0.123294868729775 0.64849043271977	7	4
5-hydroxytryptamine	2.35e-76	92	TRINITY_DN2947_c0_g1	0.061933666840377 0.974129406941921	0.562168391255219 0.610270318117627	0.846364888836638 1	-0.0393322379911446 0.961188713676669	0.166234674627024 0.463994854453846	0.161910433539478 0.507461732220074	NA	15
kismet	2.33e-57	76	TRINITY_DN2951_c1_g1	-0.0729535824065955 0.938810135470579	-0.188671779398562 0.81652244554077	-0.712265640570761 0.0136405185006769	-0.0508978288681141 0.966211656614124	-0.14277792309885 0.707344052549627	-0.102981863995558 0.847403141004902	15	2
TpnC41C	2.80e-21	84	TRINITY_DN2987_c0_g1	0.521570326788319 0.286982008147645	0.583783730555564 0.404748561991269	0.271942971230246 0.589357976478021	0.258995595033054 0.645883969598928	0.478989808438024 0.0613680373802997	0.118409723777851 0.743905792567452	2	2
CG5966	5.38e-35	73	TRINITY_DN3002_c0_g2	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
CG14478	7.32e-08	98	TRINITY_DN3008_c0_g1	-1.97731615009094 0.000132689644133026	-0.482075197225298 0.670870909284198	-0.611596671384265 0.428702105272629	-0.110962381091829 0.908630146882075	0.106235102035837 0.864716213398036	0.181125113655469 0.655814113779201	1	NA
kismet	1.82e-27	87	TRINITY_DN3065_c0_g1	0.0425452023110384 0.987471250916425	-0.267615042481131 0.88145283421426	-0.200009423236549 1	0.224127609880163 0.904758834253071	0.389580842699174 1	0.316967159332639 1	NA	41
Pka-C1	4.39e-48	86	TRINITY_DN3066_c1_g1	0.629808149258148 0.532301403304652	1.01042313741059 0.0410225495184831	0.900597174796109 0.105012675916838	0.0226916576329696 0.980070093596259	0.207089029681404 0.409088147695303	0.315652041981037 0.192321438820203	3	15
alfa-Esterase-8	4.75e-47	97	TRINITY_DN3072_c0_g1	-0.0721347630987211 0.925320968507251	0.0267027481932593 0.988791408680669	0.000866510060655683 0.998567985818632	-0.199566541047174 0.587110036466573	-0.809455789096874 7.08534952358633e-06	-0.2354609255934 0.540932574736385	13	3
alpha-coatomer	6.58e-13	91	TRINITY_DN3113_c1_g1	-0.409957041835954 0.824467492535242	0.101666905994412 0.976123266735163	0.161138740672264 1	-0.341733924084841 0.479522890114772	-0.0218198220248482 0.964017601431288	0.00643625384951523 0.993248903924129	NA	NA
black	0.0	82	TRINITY_DN3136_c0_g2	0.616968291476674 0.641125137376138	0.00545112791862886 0.999637892153152	0.728324860738679 0.336463540217813	0.478725545507473 0.548044782773168	0.307241445858192 0.618217639748882	0.198031595521766 0.756120602710466	NA	NA
hsc70-3	0.0	95	TRINITY_DN3172_c0_g1	0.855570284135854 0.00024727827199548	1.37511559095755 2.35659737122418e-07	1.03827864145091 6.50250655154868e-05	0.180654684707078 0.793124525273081	0.296707105313012 0.143380166303629	0.31094349985948 0.282513889865371	3	32
artichoke	1.28e-29	70	TRINITY_DN317_c0_g1	0.454504360348569 0.256294117180161	0.552604454023744 0.218224866894987	0.267141899738294 0.441146447845698	0.328218831792079 0.433327395845512	0.259542587952106 0.457587265983401	0.340906980389169 0.327980890906943	2	32
CG32444	1.02e-85	88	TRINITY_DN319_c0_g1	0.15711083735119 0.576010434569485	0.162377383585534 0.670546701479306	-0.219594064518298 0.3258354480426	-0.00725702017091859 0.990708923579712	-0.107256370419578 0.623109999042086	-0.110343868093288 0.635897673371896	2	2
psf2	7.90e-70	99	TRINITY_DN3217_c1_g1	0.442882592239282 0.568874791754627	-0.568228751845453 0.610270318117627	-0.49701884509766 0.471698542844987	0.201002302535313 0.902722603145824	-0.130055761041056 0.843414811682037	-0.342429222663843 0.666408531504643	2	38
ebony	4.44e-08	79	TRINITY_DN32199_c0_g1	-1.05243783300746 0.000253023609876453	-1.0497830868558 0.00807406662961344	-1.49753376743094 1.22460835302768e-06	-0.507613488929704 0.305950067486845	-1.13993478032501 0.000319951230616105	-0.974471701382933 0.00489154799564353	9	3
kek4	8.46e-12	100	TRINITY_DN3257_c0_g2	0.720019317152185 0.576010434569485	-0.0518680261545884 0.98547771782934	0.522727582654426 1	-0.066489497999316 0.974546675916935	0.186823280006605 1	0.446434241091604 1	NA	NA
