hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
CG7900	3.43e-31	92	TRINITY_DN165_c0_g1	0.370553242638194	0.201884808596178	0.268763947596547	0.381551590102759	0.166399393716034	0.675171597084744	0.136183625092138	0.383818994513565	-0.0728879047833937	0.647374143918172	-0.114171811996438	0.508278609889288	2	2
Nurf-38	1.54e-141	99	TRINITY_DN1681_c1_g1	-1.04814967190694	6.76622604744166e-10	-0.443503855424653	0.285816001879441	-0.537309071130905	0.114163090251131	-0.419517086658694	0.0103524066158409	-0.580462289829732	0.001446886113998	-0.729549953328385	0.000189497012625862	1	2
artichoke	2.86e-50	88	TRINITY_DN16960_c0_g1	NA	NA	NA	NA	NA	NA	-0.06780762279762	1	-0.209254542950936	1	0.220834912217215	1	NA	NA
14-3-3	1.30e-61	97	TRINITY_DN1799_c1_g2	0.0598118671848325	0.921123074733574	-0.0294282118662297	0.968658182777451	-0.0539099243752445	0.885296793009654	0.111818096494752	0.789094720820974	0.0262063037826292	0.926607631269771	0.0536555683190832	0.894287030520976	11	32
swiss	0.0	99	TRINITY_DN18272_c0_g1	0.113133726737239	0.684786151112811	0.0299791762048922	0.97225259990264	0.0671095434641559	0.784411450299246	0.0286111124689394	0.958344640348695	-0.136331892251644	0.426472572693705	-0.0444329886025041	0.906648026939747	8	2
CG2767	1.15e-83	98	TRINITY_DN1846_c0_g1	-0.525636482160034	0.362245743567225	-0.757187676859155	0.138419165308305	-0.649087392167284	0.0569027590060728	-0.519341547563145	0.0364921587799921	-0.451235366892225	0.107962560053993	-0.660613741235058	0.016138714245075	1	3
Est1	6.78e-77	94	TRINITY_DN19751_c0_g1	NA	NA	NA	NA	NA	NA	-0.25741704432642	0.865421252210114	-0.535360981824482	1	-0.566615878959822	1	NA	39
hsc70-3	0.0	86	TRINITY_DN1976_c7_g1	0.371569796693966	0.576010434569485	0.246249819454966	0.727590329600672	0.206944281668381	0.569662570984539	0.107394354032581	0.532726020221608	0.209678992289583	0.357590089797262	0.0679561624390062	0.806928355665376	11	41
couch	5.94e-106	97	TRINITY_DN2037_c0_g1	0.243446141181949	0.789609950624843	0.0184226593007211	0.993813038885078	0.332521826635145	0.555981266023476	-0.160055386382039	0.866676979347782	-0.0358767914817091	0.952566959506536	-0.0220878566820585	0.976185877971902	14	29
CG10444	3.30e-49	92	TRINITY_DN2048_c0_g1	-0.438141187279373	0.0763262327264578	-0.307839198583327	0.580051515208431	0.178928135956884	0.706228231775217	0.166239760543183	0.736929517472022	0.134645022212457	0.695773226656288	0.362335049606179	0.261908304624381	12	32
CG10444	1.81e-166	96	TRINITY_DN20619_c1_g1	NA	NA	NA	NA	NA	NA	-0.326435006562481	0.81386431445777	-0.734924066614087	1	-0.785200660562846	1	NA	39
CG7900	7.59e-18	96	TRINITY_DN20638_c0_g1	-0.154624260196199	0.791993483589854	-0.364121833519369	0.610270318117627	-0.552821791214467	0.0811549249540879	-0.279904217918347	0.611225497703166	-0.0789250929395932	0.84762198200211	-0.197047896655302	0.620437711331978	9	2
artichoke	6.16e-46	86	TRINITY_DN2109_c1_g1	-0.157930115737624	0.626174124648112	-0.385579145919485	0.080985989325549	-0.12943379529515	0.662825924117092	-0.215290562157024	0.4879218493741	-0.453950846949846	0.00249479049582106	-0.201408709695197	0.459196782558988	9	1
alfa-Esterase-8	1.15e-95	90	TRINITY_DN2112_c0_g1	-0.940683530746082	2.08407949967365e-07	-0.949664832087164	6.70349541827949e-10	-1.0790077461222	1.11617088564715e-07	-0.377721121031152	0.363178660359127	-0.640954226704197	0.0106414543914882	-0.380065439321618	0.175566590408812	9	16
alfa-Esterase-8	8.66e-92	94	TRINITY_DN2112_c0_g2	-1.88429636391582	3.61640237791389e-21	-2.01247328523597	1.69838346005096e-12	-2.26135258043731	4.44512540687226e-17	-1.00156044395877	5.65804621447324e-09	-1.56479030827943	4.22731851221487e-60	-1.40467608394211	1.11176783778615e-31	9	3
Darkener	1.99e-18	81	TRINITY_DN2140_c0_g4	-0.365670622285687	0.0221949914184997	-0.392445669871313	0.0111162359016665	-0.449272967989147	0.00015170665445733	0.0101385810845361	0.985500950042987	0.00278360534641664	0.993129799777081	-0.0144344344007692	0.970365503087405	9	2
GNBP1	4.34e-67	95	TRINITY_DN21_c0_g1	0.0697096282157727	0.922622458324323	-0.123822555587554	0.894299131836399	-0.281309107470937	0.457439502384305	0.670015902072211	3.86515385824681e-08	-0.0443085696920716	0.872276180579772	-0.244884199292001	0.286332076870464	2	18
alfa-Esterase-8	5.49e-37	84	TRINITY_DN2253_c0_g1	0.306474449633631	0.167102236159297	0.123851322852228	0.73014711767565	-0.0661747050217883	0.825446775106635	0.141363119476324	0.597655015894241	-0.0931204467225922	0.631074425740292	0.00529999482663126	0.991212134157906	2	2
alfa-Esterase-8	5.75e-66	85	TRINITY_DN236_c0_g6	-0.821540931815498	0.000799859331024076	-0.752953865754432	0.0257497222991766	-0.808535422687269	0.0520688972885038	-0.743271598925427	0.0214253026065361	-1.21457561273078	2.62997968792033e-05	-1.34249063550678	4.41723746124167e-07	1	3
pros25	1.12e-28	83	TRINITY_DN2408_c0_g1	-0.336944088271298	0.0296846977372858	-0.146335312901549	0.76395987156282	-0.326257164386113	0.14639693832374	-0.564604853822227	2.00208149177687e-05	-0.433074574634999	0.0108489466364738	-0.462451218086069	0.0318514774099348	1	2
Est1	6.54e-49	84	TRINITY_DN2425_c0_g1	0.900689147999671	0.353256651393247	0.390801341700421	0.802228670504604	0.707572386640485	0.408153577618781	-0.308704833197719	0.278386285439686	0.0170847313479169	0.96882934979866	0.215512600388432	0.418827681295946	NA	4
SP71	3.82e-19	80	TRINITY_DN2436_c1_g1	0.595565056041957	0.000430545190686514	0.877839292694303	0.0177767687442248	0.829147808545168	1.63500617499974e-06	0.365844131687474	0.183002900762308	-0.0416433366645488	0.889513647977156	0.107828510096954	0.772085510894469	3	1
black	1.01e-61	87	TRINITY_DN251_c1_g1	0.0307665531491486	0.982396842477559	-0.564524691472899	0.384948708803845	-0.98865876845166	0.0115978375623208	1.13148918473589	0.0280356719823203	-0.0228382045543587	1	-0.591183601701964	0.35725375416351	9	18
TpnC41C	8.23e-68	99	TRINITY_DN2520_c0_g1	-1.24555359217066	0.225625715429074	-0.791894287759568	0.610270318117627	-0.762803725392365	0.423819196147317	-0.700433643710942	0.247162486496492	-0.84211993292865	0.151128493433355	-0.56131069896429	0.387954421476708	1	3
pros25	5.70e-42	86	TRINITY_DN25215_c0_g1	-0.532748272038861	8.37699840975715e-06	-0.256410163825731	0.372183525006084	-0.403556869123977	0.0676415806917199	-0.59387216114642	1.76644857639364e-05	-0.301051729186699	0.0975330779479999	-0.428422633357758	0.0225150518092975	1	2
desat1	0.0	99	TRINITY_DN255_c0_g1	-2.68694352841671	7.08216249694752e-14	-1.36133988473516	0.030563066450375	-1.37081778376051	0.00069036373334937	-0.721599836281346	0.00123943065564714	-0.710371247343128	0.00480383444509598	-0.783574913703657	0.000502046168383125	1	3
alfa-Esterase-8	5.48e-56	80	TRINITY_DN256_c2_g1	0.632113095268429	0.562531797080481	0.278597828531082	0.83023345733772	0.515060220926598	0.478258931148099	-0.0303112078425841	0.974546675916935	0.287213565231675	0.353916418347874	0.236112163140815	0.490096058250027	11	41
hsc70-3	5.71e-44	100	TRINITY_DN25906_c0_g2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14-3-3	2.84e-175	99	TRINITY_DN259_c3_g1	-0.0776570350309219	0.888909952509718	-0.343548550728438	0.290571412713517	-0.356843270047331	0.171725773791291	-0.0417535837100088	0.961188713676669	-0.113465732125474	0.631074425740292	-0.0325387583077381	0.947254226852995	11	32
5-hydroxytryptamine	2.79e-33	95	TRINITY_DN25_c0_g1	NA	NA	NA	NA	NA	NA	0.146088846687888	0.669358192955278	0.349004333417644	0.0578794788391744	0.355598304431074	0.080788692600849	NA	41
alpha-coatomer	2.90e-79	83	TRINITY_DN2790_c4_g1	0.0166134224327932	0.981035350823475	-0.0193694888104407	0.980543532838225	-0.140141940182923	0.643222417534353	-0.112185356775942	0.747746523124424	-0.334801273411123	0.0261628061297202	-0.232362043276347	0.480638533819661	2	2
Treh	0.0	88	TRINITY_DN2886_c0_g1	0.273659874984373	0.658494125807867	0.277004388990185	0.708396026527451	0.531112367893043	0.193519121657378	-0.0439717224727444	0.944593708487579	-0.182584348043716	0.212030525352972	-0.110155293821435	0.775649197021092	14	1
Btk	3.79e-51	92	TRINITY_DN2921_c0_g1	0.364945989847239	0.762746498662042	-0.122470074068384	0.952567854791041	0.281287795867907	0.758477284163692	0.103126243041888	0.859506270609753	0.308326916902979	0.155434433910765	0.123294868729775	0.64849043271977	7	4
5-hydroxytryptamine	2.35e-76	92	TRINITY_DN2947_c0_g1	0.061933666840377	0.974129406941921	0.562168391255219	0.610270318117627	0.846364888836638	1	-0.0393322379911446	0.961188713676669	0.166234674627024	0.463994854453846	0.161910433539478	0.507461732220074	NA	15
TpnC41C	2.80e-21	84	TRINITY_DN2987_c0_g1	0.521570326788319	0.286982008147645	0.583783730555564	0.404748561991269	0.271942971230246	0.589357976478021	0.258995595033054	0.645883969598928	0.478989808438024	0.0613680373802997	0.118409723777851	0.743905792567452	2	2
kismet	1.82e-27	87	TRINITY_DN3065_c0_g1	0.0425452023110384	0.987471250916425	-0.267615042481131	0.88145283421426	-0.200009423236549	1	0.224127609880163	0.904758834253071	0.389580842699174	1	0.316967159332639	1	NA	41
Pka-C1	4.39e-48	86	TRINITY_DN3066_c1_g1	0.629808149258148	0.532301403304652	1.01042313741059	0.0410225495184831	0.900597174796109	0.105012675916838	0.0226916576329696	0.980070093596259	0.207089029681404	0.409088147695303	0.315652041981037	0.192321438820203	3	15
alfa-Esterase-8	4.75e-47	97	TRINITY_DN3072_c0_g1	-0.0721347630987211	0.925320968507251	0.0267027481932593	0.988791408680669	0.000866510060655683	0.998567985818632	-0.199566541047174	0.587110036466573	-0.809455789096874	7.08534952358633e-06	-0.2354609255934	0.540932574736385	13	3
black	0.0	82	TRINITY_DN3136_c0_g2	0.616968291476674	0.641125137376138	0.00545112791862886	0.999637892153152	0.728324860738679	0.336463540217813	0.478725545507473	0.548044782773168	0.307241445858192	0.618217639748882	0.198031595521766	0.756120602710466	NA	NA
hsc70-3	0.0	95	TRINITY_DN3172_c0_g1	0.855570284135854	0.00024727827199548	1.37511559095755	2.35659737122418e-07	1.03827864145091	6.50250655154868e-05	0.180654684707078	0.793124525273081	0.296707105313012	0.143380166303629	0.31094349985948	0.282513889865371	3	32
CG32444	1.02e-85	88	TRINITY_DN319_c0_g1	0.15711083735119	0.576010434569485	0.162377383585534	0.670546701479306	-0.219594064518298	0.3258354480426	-0.00725702017091859	0.990708923579712	-0.107256370419578	0.623109999042086	-0.110343868093288	0.635897673371896	2	2
psf2	7.90e-70	99	TRINITY_DN3217_c1_g1	0.442882592239282	0.568874791754627	-0.568228751845453	0.610270318117627	-0.49701884509766	0.471698542844987	0.201002302535313	0.902722603145824	-0.130055761041056	0.843414811682037	-0.342429222663843	0.666408531504643	2	38
tailless	8.83e-98	95	TRINITY_DN32885_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutaredoxin	8.43e-40	84	TRINITY_DN3435_c0_g1	-0.133511380203614	0.668251452636133	-0.0837314592777088	0.908327847663065	-0.422492499444246	0.0913477060284151	-0.0843968453942095	0.91165096793305	-0.32636551250836	0.158684574153224	-0.383441620955246	0.162533606171005	2	2
CG10444	1.10e-110	92	TRINITY_DN3465_c1_g1	-0.784260276203951	0.067095250792375	-0.647997466989041	0.350008009258178	-0.446609242389784	0.481184505401373	-0.481493597451728	0.174192979944859	-0.60036259852872	0.0140821587435739	-0.424641959153341	0.157217493467136	7	2
l(1)g0232	2.80e-21	82	TRINITY_DN3649_c0_g1	0.258249599473298	0.858133380315225	0.0424821467375909	0.984942007302925	0.979364660548615	1	0.0026014030735106	0.998750459114849	-0.100358779735031	0.800910339268824	0.0641165710596655	0.895708925256203	NA	4
ebony	1.34e-16	83	TRINITY_DN3771_c0_g1	-0.545062607011942	0.0151311691000202	-0.888796905864961	0.00498133631587398	-0.790027802539199	0.0134821229912033	-0.208457877087129	0.630316767067615	-0.683771390150477	0.000198617748412836	-0.561940862973865	0.0139122260037023	9	3
CG10444	2.83e-72	95	TRINITY_DN3818_c0_g1	-0.323069746558083	0.569566106444222	-0.329902330732624	0.610270318117627	-0.217648805774376	0.61818639728954	-0.0814676456351762	0.894447355645412	-0.213308391431839	0.299112817247824	-0.117478685679643	0.709861800857485	NA	32
Pka-C1	4.97e-119	99	TRINITY_DN38223_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3397	1.02e-118	91	TRINITY_DN3860_c0_g3	-0.212949895732182	0.223467895647677	-0.116934807767413	0.750850348309893	-0.205826268523676	0.463736078463657	0.13415692148246	0.776782334433749	-0.0943148001823119	0.754186798434242	-0.0964092099939868	0.765680838708669	NA	2
pros25	7.20e-37	93	TRINITY_DN3940_c2_g1	-0.38416583883462	0.0384078360248631	-0.298944326130616	0.556229277444527	-0.588385570788115	0.010815706204961	-0.627541869690371	0.000118629865395578	-0.469160977074122	0.0320381890821266	-0.572440043462568	0.0192410030640094	9	2
Bx42	0.0	98	TRINITY_DN3961_c0_g1	-0.00854011113476861	0.987471250916425	0.207373791511254	0.516280515473494	0.201118403560531	0.514329165773957	-0.08143100008174	0.880641279106507	0.11400362375779	0.531460244026652	-0.0908688241413284	0.686077108043156	14	NA
beadex	5.10e-92	87	TRINITY_DN3971_c0_g2	NA	NA	NA	NA	NA	NA	0.214859154366862	0.734344644094712	0.277029042939161	0.377771284861547	0.293672040259125	0.467837586389368	NA	32
med22	2.60e-73	95	TRINITY_DN3995_c0_g1	-0.475078083208157	0.130056859991425	-0.240779443908392	0.692540385497796	-0.301244405415771	0.549581752456882	0.113977538686204	0.832299554140947	0.0300737783851814	0.925186959773537	0.0714210166967844	0.832848077756595	15	44
alpha-coatomer	0.0	99	TRINITY_DN4005_c0_g1	0.0110136442321332	0.982869058971573	-0.0856875661294906	0.844338008153603	0.146390686656617	0.60554659424574	-0.123324326286893	0.735162844742651	-0.313728148298502	0.0660824830702896	-0.274612931158965	0.121587019310727	14	2
Multi-substrate	3.26e-64	97	TRINITY_DN4146_c0_g2	0.0106866266494292	0.987471250916425	0.224553407258311	0.483752881356321	0.0432864209833012	0.890200776423988	-0.125225926546655	0.815458280010957	-0.0156691244447556	0.94971099404085	0.0719056838935643	0.85166737054391	11	9
desat1	3.05e-146	87	TRINITY_DN4174_c2_g1	0.22127208109309	0.576010434569485	-0.0254608112276147	0.981855341158437	-0.158870498774443	0.754896246468862	0.399766977412605	0.183602217731441	0.102991634040113	0.724863521694561	0.13809275919333	0.708128626205305	2	NA
5-hydroxytryptamine	2.49e-57	92	TRINITY_DN42084_c0_g1	-0.0220949602129298	0.988569281851238	0.0481488021020772	0.982944221838836	0.379107660846548	0.660146864072588	0.182201163627074	0.708080048890741	0.12214097993835	0.693195526580333	0.396946608302348	0.251947195379325	NA	7
CG10444	7.19e-115	89	TRINITY_DN4242_c0_g1	-1.67794670207021	9.77554397784361e-07	-0.492184937043913	0.610270318117627	-0.378594479387186	0.603717286921178	-0.337487677855	0.312531333033335	-0.59181042284769	0.0129316468618604	0.184485854972818	0.739198877368002	1	1
metabotropic	0.0	92	TRINITY_DN430_c0_g2	0.618286841649402	0.59361908854948	0.779513545810345	0.610270318117627	0.994133107893317	1	0.0800246905806491	0.931461275462466	0.207754896748315	0.452211870598924	0.190744761010457	0.574357908764084	NA	15
Mub	4.60e-17	83	TRINITY_DN4376_c0_g1	-0.176884898342033	0.737508286694146	-0.197768991921912	0.626637486028959	-0.0604638774574227	0.862892573868872	-0.0333544909468112	0.963352030168421	-0.0405768176363394	0.880697605247097	0.0336727218283956	0.915370626908963	6	29
chord	3.53e-126	98	TRINITY_DN4559_c1_g1	-0.283487506880688	0.187199977439128	0.157503853179464	0.622446519450622	-0.193587016189667	0.544328477050134	-0.305186799695872	0.0250655683893256	-0.445020902216925	0.00191195093469246	-0.543640460593898	4.5690708126908e-08	NA	3
spichthyin	1.18e-99	97	TRINITY_DN4625_c0_g1	0.00721970748283759	0.989148619603433	0.157757366316124	0.770002573106009	-0.0173464276436111	0.968857580862559	-0.0864511321240588	0.877298088395548	-0.242214218697434	0.269206290157002	-0.0500846957912679	0.882564126267558	2	2
moody	2.51e-18	81	TRINITY_DN4671_c0_g3	0.170439715951806	0.90828048351242	-0.0190089133296746	0.993174721752257	0.951308717790994	1	-0.163680915732741	0.845159825648993	-0.303513856597745	0.304558357397274	0.0107471825863557	0.988243460279674	NA	30
14-3-3	3.35e-99	99	TRINITY_DN47881_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(1)g0232	8.25e-34	96	TRINITY_DN4900_c0_g1	0.552925151512806	0.471789471745634	1.02879553782942	0.00301250455376231	0.161667783325202	0.81715898207429	-0.235586059414162	0.619303124582186	0.12088964117246	0.756233073384923	-0.331379138995186	0.292581234585514	11	NA
moody	6.43e-140	89	TRINITY_DN494_c0_g2	0.1385810152176	0.805181205696051	0.668263834190412	0.0548054294747864	0.445906516647082	0.391665580298165	-0.0233110429020383	0.978457932915273	0.311323263409888	0.232461195773571	0.366579743467654	0.156967313453992	14	NA
5-hydroxytryptamine	4.30e-61	86	TRINITY_DN4987_c0_g1	-1.23441023027845	0.290717546307728	NA	NA	NA	NA	0.32798620814868	0.737483539219758	0.559867608931533	1	0.889440736769114	1	NA	5
CG10444	0.0	98	TRINITY_DN4996_c0_g1	-0.724510942731016	0.160575827122423	-0.755366930351666	0.141761971193495	-0.208807681573844	0.817394727760583	NA	NA	NA	NA	NA	NA	7	NA
Pka-C1	3.00e-42	81	TRINITY_DN505_c4_g1	0.545272367639842	0.0243812931445094	0.647368770954661	0.0306168936371774	0.674952984980743	0.00412021879755598	0.263711690438223	0.0562851778940907	0.114217667039876	0.417580826200858	0.155730502682077	0.653194919666361	3	32
CG10444	1.07e-108	92	TRINITY_DN5075_c0_g1	0.889316502613507	0.358308416347685	1.11233865704719	0.0767694428432038	0.524854266779752	0.501746480863282	NA	NA	NA	NA	NA	NA	3	NA
pros25	3.66e-50	92	TRINITY_DN5079_c0_g1	-0.458663049818105	0.00110604772266418	-0.367476001004888	0.060488266976684	-0.483124357272589	0.000533258563443449	-0.526040886505313	1.73748900263736e-05	-0.387717604634113	0.0208964084052674	-0.437388734931269	0.0147015585372395	1	2
TpnC41C	4.42e-64	97	TRINITY_DN5302_c0_g1	0.431549923697974	0.797326972005656	0.444740437547304	0.745912931122279	0.270580278952522	1	NA	NA	NA	NA	-0.0623270511418243	1	NA	NA
black	1.18e-76	84	TRINITY_DN5325_c0_g1	-0.828886886765923	0.435610475361077	-0.854707608040602	0.521748136996934	0.555553146606066	1	0.0611334873093643	0.92248233764361	0.0484202166876434	0.861953581128181	0.17463635517432	0.525487849494168	NA	30
fizzeled	1.67e-18	89	TRINITY_DN536_c0_g1	0.851717035313028	0.576010434569485	0.233939763936587	0.907972734339678	0.83597084161103	0.327559819763386	0.166705902912294	0.935807279092346	0.33014404889496	0.644497361030549	0.296613555636742	0.725325655015268	NA	28
fizzeled	1.67e-18	89	TRINITY_DN536_c0_g2	1.10992796688962	5.33084202347051e-05	0.392276285014806	0.749036456980857	0.910421732332825	0.0318320417438767	0.387901297667833	0.232817489318206	0.955466224335764	5.05536981380549e-05	0.611092025753597	0.0603148727202651	5	41
Pka-C1	8.99e-101	93	TRINITY_DN5370_c0_g2	0.663957968452977	0.114827996774458	0.363765264823014	0.547319885768389	0.316530126721843	0.466605620780815	-0.45058895085786	0.0278775115983328	-1.05517516946236	2.61004722989374e-13	-0.866094849546632	0.00109046249208905	2	3
desat1	1.70e-54	86	TRINITY_DN5398_c0_g1	-1.37917031395503	5.4762463001744e-05	-1.43003834864908	0.000180345098347245	-1.01378560700336	0.0268734870172146	-1.62753244874812	1.19681794025022e-15	-1.66996159314584	3.02506637863926e-16	-1.45165808094528	3.7484015791e-11	1	3
CG2767	4.81e-88	92	TRINITY_DN539_c0_g1	-0.629270234100232	6.09013784027523e-13	-0.244754349901373	0.610270318117627	-0.420975105296687	0.0483274255953485	-0.658385606973316	4.86547742422764e-13	-0.83438856401559	1.06785320702507e-14	-0.865365464004312	7.99431990137234e-15	1	3
Btk	1.36e-61	96	TRINITY_DN5733_c0_g1	0.244933803410315	0.362245743567225	0.546770676026184	0.0628642340661108	0.491349876693959	0.0333489222257071	0.188769660814461	0.265220851101144	-0.096293614883784	0.656250516809954	-0.0911005046219043	0.734604089919242	14	2
Darkener	1.33e-20	88	TRINITY_DN5835_c0_g1	-0.626393716547729	0.0432540339700049	-0.467030273667721	0.356994869588466	-0.753487556870708	0.0475474426826364	0.0841871853948553	0.935749308989429	0.0663225660315507	0.879529241271273	0.118055179716242	0.775649197021092	15	2
Btk	2.37e-108	92	TRINITY_DN600_c0_g1	0.260378207930344	0.742636306108677	0.439739476630294	0.610270318117627	0.347553472764957	0.563153638669192	0.0602613622053044	0.937044170938458	0.136607656525903	0.559924474720677	0.0856762472118089	0.790433586814435	3	15
fizzeled	3.51e-42	94	TRINITY_DN632_c3_g3	0.55258409446703	0.310192982772548	0.518423803322135	0.441251543831851	0.638584545472537	0.108436953243006	-0.073812597730655	0.958344640348695	-0.15445684706955	0.702537598658795	0.125748286621376	0.831660467337079	3	32
